Nombre,Provincia,Division,Tipo
A Coruña,A Coruña,Galicia,Capital de Provincia
Alacant,Alicante,Comunidad Valenciana,Capital de Provincia
Albacete,Albacete,Castilla-La Mancha,Capital de Provincia
Almería,Almería,Andalucía,Capital de Provincia
Badajoz,Badajoz,Extremadura,Capital de Provincia
Barcelona,Barcelona,Cataluña,Capital de Comunidad / Provincia
Bilbao,Bizkaia,País Vasco,Capital de Provincia
Burgos,Burgos,Castilla y León,Capital de Provincia
Castelló de la Plana,Castellón,Comunidad Valenciana,Capital de Provincia
Ceuta,Ceuta,Ceuta,Capital de Comunidad / Provincia
Ciudad Real,Ciudad Real,Castilla-La Mancha,Capital de Provincia
Cuenca,Cuenca,Castilla-La Mancha,Capital de Provincia
Cáceres,Cáceres,Extremadura,Capital de Provincia
Cádiz,Cádiz,Andalucía,Capital de Provincia
Córdoba,Córdoba,Andalucía,Capital de Provincia
Donostia,Gipuzkoa,País Vasco,Capital de Provincia
Girona,Girona,Cataluña,Capital de Provincia
Granada,Granada,Andalucía,Capital de Provincia
Guadalajara,Guadalajara,Castilla-La Mancha,Capital de Provincia
Huelva,Huelva,Andalucía,Capital de Provincia
Huesca,Huesca,Aragón,Capital de Provincia
Jaén,Jaén,Andalucía,Capital de Provincia
Las Palmas de Gran Canaria,Las Palmas,Canarias,Capital de Comunidad / Provincia
León,León,Castilla y León,Capital de Provincia
Lleida,Lleida,Cataluña,Capital de Provincia
Logroño,La Rioja,La Rioja,Capital de Comunidad / Provincia
Lugo,Lugo,Galicia,Capital de Provincia
Madrid,Madrid,Madrid,Capital de Pais / Comunidad / Provincia
Melilla,Melilla,Melilla,Capital de Comunidad / Provincia
Murcia,Murcia,Murcia,Capital de Comunidad / Provincia
Málaga,Málaga,Andalucía,Capital de Provincia
Mérida,Badajoz,Extremadura,Capital de Comunidad
Ourense,Ourense,Galicia,Capital de Provincia
Oviedo,Asturias,Asturias,Capital de Comunidad / Provincia
Palencia,Palencia,Castilla y León,Capital de Provincia
Palma,Illes Balears,Islas Baleares,Capital de Comunidad / Provincia
Pamplona,Navarra,Navarra,Capital de Comunidad / Provincia
Pontevedra,Pontevedra,Galicia,Capital de Provincia
Salamanca,Salamanca,Castilla y León,Capital de Provincia
Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,Capital de Comunidad / Provincia
Santander,Cantabria,Cantabria,Capital de Comunidad / Provincia
Santiago de Compostela,A Coruña,Galicia,Capital de Comunidad
Segovia,Segovia,Castilla y León,Capital de Provincia
Sevilla,Sevilla,Andalucía,Capital de Comunidad / Provincia
Soria,Soria,Castilla y León,Capital de Provincia
Tarragona,Tarragona,Cataluña,Capital de Provincia
Teruel,Teruel,Aragón,Capital de Provincia
Toledo,Toledo,Castilla-La Mancha,Capital de Comunidad / Provincia
Valladolid,Valladolid,Castilla y León,Capital de Comunidad / Provincia
València,Valencia,Comunidad Valenciana,Capital de Comunidad / Provincia
Vitoria-Gasteiz,Araba,País Vasco,Capital de Comunidad / Provincia
Zamora,Zamora,Castilla y León,Capital de Provincia
Zaragoza,Zaragoza,Aragón,Capital de Comunidad / Provincia
Ávila,Ávila,Castilla y León,Capital de Provincia