Nombre,Pais,Tipo
Andalucía,España,COMUNIDAD
Aragón,España,COMUNIDAD
Asturias,España,COMUNIDAD
Islas Baleares,España,COMUNIDAD
Canarias,España,COMUNIDAD
Cantabria,España,COMUNIDAD
Castilla-La Mancha,España,COMUNIDAD
Castilla y León,España,COMUNIDAD
Cataluña,España,COMUNIDAD
Comunidad Valenciana,España,COMUNIDAD
Extremadura,España,COMUNIDAD
Galicia,España,COMUNIDAD
Madrid,España,COMUNIDAD
Región de Murcia,España,COMUNIDAD
Navarra,España,COMUNIDAD
País Vasco,España,COMUNIDAD
La Rioja,España,COMUNIDAD
Ceuta,España,CIUDAD
Melilla,España,CIUDAD